"","year","trimestre","promedio_net"
"1",1985,"Q4",38.7330017089844
"2",1986,"Q1",66.2286682128906
"3",1986,"Q2",67.939333597819
"4",1986,"Q3",60.2696660359701
"5",1986,"Q4",52.4396654764811
"6",1987,"Q1",22.5553328196208
"7",1987,"Q2",21.0166664123535
"8",1987,"Q3",2.39533332983653
"9",1987,"Q4",0.81333331267039
"10",1988,"Q1",0.801999986171722
"11",1988,"Q2",0.801999986171722
"12",1988,"Q3",0.801999986171722
"13",1988,"Q4",0.801999986171722
"14",1989,"Q1",0.801999986171722
"15",1989,"Q2",0.801999986171722
"16",1989,"Q3",0.801999986171722
"17",1989,"Q4",0.801999986171722
"18",1990,"Q1",0.801999986171722
"19",1990,"Q2",0.801999986171722
"20",1990,"Q3",0.801999986171722
"21",1990,"Q4",0.801999986171722
"22",1991,"Q1",0.801999986171722
"23",1991,"Q2",0.801999986171722
"24",1991,"Q3",15.5193335215251
"25",1991,"Q4",12.7366666793823
"26",1992,"Q1",12.7340002059937
"27",1992,"Q2",12.7340002059937
"28",1992,"Q3",12.7340002059937
"29",1992,"Q4",12.7340002059937
"30",1993,"Q1",12.7340002059937
"31",1993,"Q2",12.7340002059937
"32",1993,"Q3",12.7340002059937
"33",1993,"Q4",13.0173333485921
"34",1994,"Q1",13.0349998474121
"35",1994,"Q2",12.4083334604899
"36",1994,"Q3",10.4733333587646
"37",1994,"Q4",9.54033342997233
"38",1995,"Q1",12.8983335494995
"39",1995,"Q2",7.09133342901866
"40",1995,"Q3",-2.79366664091746
"41",1995,"Q4",-6.95000012715658
"42",1996,"Q1",-8.3183331489563
"43",1996,"Q2",-15.7483332951864
"44",1996,"Q3",-18.6350002288818
"45",1996,"Q4",-18.5939998626709
"46",1997,"Q1",-18.5939998626709
"47",1997,"Q2",-18.5939998626709
"48",1997,"Q3",-21.8513336181641
"49",1997,"Q4",-23.6213334401449
"50",1998,"Q1",-22.3376668294271
"51",1998,"Q2",-20.2983334859212
"52",1998,"Q3",-19.5759995778402
"53",1998,"Q4",-13.4390001296997
"54",1999,"Q1",-10.6243330637614
"55",1999,"Q2",-8.85199975967407
"56",1999,"Q3",1.06833346684774
"57",1999,"Q4",20.9890003204346
"58",2000,"Q1",31.4020004272461
"59",2000,"Q2",34.3113333384196
"60",2000,"Q3",27.3980000813802
"61",2000,"Q4",-16.1646664937337
"62",2001,"Q1",-10.603000164032
"63",2001,"Q2",-19.7573331197103
"64",2001,"Q3",-19.5866661071777
"65",2001,"Q4",-19.8483333587646
"66",2002,"Q1",-7.9060001373291
"67",2002,"Q2",-29.3166669209798
"68",2002,"Q3",-33.1306667327881
"69",2002,"Q4",-26.7130006154378
"70",2003,"Q1",-11.2716666857402
"71",2003,"Q2",18.7440004348755
"72",2003,"Q3",53.7113329569499
"73",2003,"Q4",49.6529998779297
"74",2004,"Q1",53.5990002950033
"75",2004,"Q2",46.8446667989095
"76",2004,"Q3",37.2136662801107
"77",2004,"Q4",40.4259999593099
"78",2005,"Q1",44.3573328653971
"79",2005,"Q2",40.7953338623047
"80",2005,"Q3",35.3733329772949
"81",2005,"Q4",37.3706665039062
"82",2006,"Q1",44.5559997558594
"83",2006,"Q2",42.4486656188965
"84",2006,"Q3",39.2343343098958
"85",2006,"Q4",38.9850006103516
"86",2007,"Q1",40.8560002644857
"87",2007,"Q2",32.4873332977295
"88",2007,"Q3",22.7593332926432
"89",2007,"Q4",22.3490002950033
"90",2008,"Q1",31.2230008443197
"91",2008,"Q2",-3.66533335049947
"92",2008,"Q3",-9.085666735967
"93",2008,"Q4",-6.50133323669434
"94",2009,"Q1",-11.0693335533142
"95",2009,"Q2",-9.65799999237061
"96",2009,"Q3",-18.4416669209798
"97",2009,"Q4",-17.1906671524048
"98",2010,"Q1",-32.6336669921875
"99",2010,"Q2",-16.3926668167114
"100",2010,"Q3",-5.0379999478658
"101",2010,"Q4",19.5163332621257
"102",2011,"Q1",31.1593341827393
"103",2011,"Q2",28.5149993896484
"104",2011,"Q3",25.5140005747477
"105",2011,"Q4",47.9463335673014
"106",2012,"Q1",38.6173324584961
"107",2012,"Q2",34.7903334299723
"108",2012,"Q3",11.9739996592204
"109",2012,"Q4",-5.94266668955485
"110",2013,"Q1",1.50566663344701
"111",2013,"Q2",-2.15299999713898
"112",2013,"Q3",-0.435333341360092
"113",2013,"Q4",13.2336663007736
"114",2014,"Q1",-16.1036669413249
"115",2014,"Q2",-15.8346672058105
"116",2014,"Q3",2.99199994405111
"117",2014,"Q4",1.85066662232081
"118",2015,"Q1",-2.13533325990041
"119",2015,"Q2",16.0623331069946
"120",2015,"Q3",31.5833333333333
"121",2015,"Q4",29.4416669209798
"122",2016,"Q1",18.3596668243408
"123",2016,"Q2",-3.41349983215332
