"","year","trimestre","promedio_net"
"1",1994,"Q1",28.2680006027222
"2",1994,"Q2",31.3290004730225
"3",1994,"Q3",36.2939993540446
"4",1994,"Q4",42.8030001322428
"5",1995,"Q1",37.4743334452311
"6",1995,"Q2",32.7809995015462
"7",1995,"Q3",24.140666325887
"8",1995,"Q4",11.0696668624878
"9",1996,"Q1",11.7519998550415
"10",1996,"Q2",9.45133336385091
"11",1996,"Q3",5.19366669654846
"12",1996,"Q4",1.02933331330617
"13",1997,"Q1",-0.674333324035009
"14",1997,"Q2",-5.15533336003621
"15",1997,"Q3",-7.66366672515869
"16",1997,"Q4",-6.71266651153564
"17",1998,"Q1",-6.46033334732056
"18",1998,"Q2",-8.20199998219808
"19",1998,"Q3",-1.21266667048136
"20",1998,"Q4",5.61233325799306
"21",1999,"Q1",-1.22399997711182
"22",1999,"Q2",-8.72300004959106
"23",1999,"Q3",-19.0376663208008
"24",1999,"Q4",-20.2263329823812
"25",2000,"Q1",-20.5796667734782
"26",2000,"Q2",-20.6223335266113
"27",2000,"Q3",-20.9203338623047
"28",2000,"Q4",-21.0690002441406
"29",2001,"Q1",-18.832000096639
"30",2001,"Q2",-18.0763333638509
"31",2001,"Q3",-18.1689993540446
"32",2001,"Q4",-23.9623330434163
"33",2002,"Q1",-26.4070002237956
"34",2002,"Q2",-33.0890000661214
"35",2002,"Q3",11.6199995676676
"36",2002,"Q4",48.1940002441406
"37",2003,"Q1",41.5970013936361
"38",2003,"Q2",41.7540003458659
"39",2003,"Q3",50.7683334350586
"40",2003,"Q4",50.8396657307943
"41",2004,"Q1",52.9343338012695
"42",2004,"Q2",55.3253351847331
"43",2004,"Q3",45.1906661987305
"44",2004,"Q4",46.0593338012695
"45",2005,"Q1",47.3553326924642
"46",2005,"Q2",43.1483332316081
"47",2005,"Q3",48.9526659647624
"48",2005,"Q4",47.7903327941895
"49",2006,"Q1",47.2590001424154
"50",2006,"Q2",46.4186668395996
"51",2006,"Q3",47.2296663920085
"52",2006,"Q4",44.3259989420573
"53",2007,"Q1",43.0530001322428
"54",2007,"Q2",39.0640004475911
"55",2007,"Q3",40.0150006612142
"56",2007,"Q4",49.7423337300619
"57",2008,"Q1",57.7186660766602
"58",2008,"Q2",53.5233332316081
"59",2008,"Q3",55.646666208903
"60",2008,"Q4",45.6093343098958
"61",2009,"Q1",42.7723325093587
"62",2009,"Q2",41.6713333129883
"63",2009,"Q3",42.0206680297852
"64",2009,"Q4",44.8436673482259
"65",2010,"Q1",42.9839998881022
"66",2010,"Q2",51.6209996541341
"67",2010,"Q3",49.0806655883789
"68",2010,"Q4",53.5356661478678
"69",2011,"Q1",50.3623339335124
"70",2011,"Q2",43.8753331502279
"71",2011,"Q3",44.9729995727539
"72",2011,"Q4",41.5263328552246
"73",2012,"Q1",39.5753339131673
"74",2012,"Q2",31.8230005900065
"75",2012,"Q3",20.806666692098
"76",2012,"Q4",25.5480003356934
"77",2013,"Q1",11.8313333193461
"78",2013,"Q2",13.1880000432332
"79",2013,"Q3",-8.45300006866455
"80",2013,"Q4",-14.5493332544963
"81",2014,"Q1",-11.0270002683004
"82",2014,"Q2",-5.01633326212565
"83",2014,"Q3",8.25766682624817
"84",2014,"Q4",0.837333331505458
"85",2015,"Q1",2.07500006755193
"86",2015,"Q2",-19.6823336283366
"87",2015,"Q3",-19.6023330688477
"88",2015,"Q4",2.57466663916906
"89",2016,"Q1",-25.1449998219808
"90",2016,"Q2",-39.0345001220703
