"","year","trimestre","promedio_net"
"1",1978,"Q3",35.8959999084473
"2",1978,"Q4",36.7956670125326
"3",1979,"Q1",16.3653332392375
"4",1979,"Q2",9.7293332417806
"5",1979,"Q3",9.3733336130778
"6",1979,"Q4",4.5633333325386
"7",1980,"Q1",-6.91200002034505
"8",1980,"Q2",-10.744000116984
"9",1980,"Q3",-10.4046665827433
"10",1980,"Q4",-14.5963331858317
"11",1981,"Q1",-34.8766670227051
"12",1981,"Q2",-32.7983322143555
"13",1981,"Q3",-34.1926663716634
"14",1981,"Q4",-34.6013323465983
"15",1982,"Q1",-34.6933339436849
"16",1982,"Q2",-27.1529998779297
"17",1982,"Q3",8.01366670926412
"18",1982,"Q4",23.2593339284261
"19",1983,"Q1",32.5280005137126
"20",1983,"Q2",33.7993329366048
"21",1983,"Q3",31.7996667226156
"22",1983,"Q4",44.1536655426025
"23",1984,"Q1",32.3813330332438
"24",1984,"Q2",17.5336666107178
"25",1984,"Q3",21.7373332977295
"26",1984,"Q4",22.7939999898275
"27",1985,"Q1",22.9009997049967
"28",1985,"Q2",21.9583339691162
"29",1985,"Q3",23.2580000559489
"30",1985,"Q4",31.1166667938232
"31",1986,"Q1",46.4383328755697
"32",1986,"Q2",44.3969993591309
"33",1986,"Q3",34.9176661173503
"34",1986,"Q4",37.2749989827474
"35",1987,"Q1",42.2389996846517
"36",1987,"Q2",68.974001566569
"37",1987,"Q3",52.0810000101725
"38",1987,"Q4",39.1209996541341
"39",1988,"Q1",23.7196667989095
"40",1988,"Q2",18.9816665649414
"41",1988,"Q3",21.3213329315186
"42",1988,"Q4",22.5983333587646
"43",1989,"Q1",22.382999420166
"44",1989,"Q2",28.2399997711182
"45",1989,"Q3",40.3773320515951
"46",1989,"Q4",48.9313329060872
"47",1990,"Q1",48.9886665344238
"48",1990,"Q2",32.0793342590332
"49",1990,"Q3",9.48499997456869
"50",1990,"Q4",9.00533310572306
"51",1991,"Q1",10.3556667963664
"52",1991,"Q2",6.46133335431417
"53",1991,"Q3",-8.86700018246969
"54",1991,"Q4",-3.44033339619637
"55",1992,"Q1",1.57399998108546
"56",1992,"Q2",6.23400004704793
"57",1992,"Q3",13.5366667111715
"58",1992,"Q4",22.5336666107178
"59",1993,"Q1",19.1923329035441
"60",1993,"Q2",17.8519999186198
"61",1993,"Q3",18.2376667658488
"62",1993,"Q4",27.6543337504069
"63",1994,"Q1",33.261666615804
"64",1994,"Q2",37.8950004577637
"65",1994,"Q3",25.6083335876465
"66",1994,"Q4",15.0139996210734
"67",1995,"Q1",-3.81200011571248
"68",1995,"Q2",-9.19666655858358
"69",1995,"Q3",-18.8159999847412
"70",1995,"Q4",-24.3776664733887
"71",1996,"Q1",-23.1093330383301
"72",1996,"Q2",-22.9053338368734
"73",1996,"Q3",-25.1920000712077
"74",1996,"Q4",-24.0536664326986
"75",1997,"Q1",-23.8669999440511
"76",1997,"Q2",-18.8266665140788
"77",1997,"Q3",-14.423999786377
"78",1997,"Q4",-14.9986667633057
"79",1998,"Q1",-7.1483332713445
"80",1998,"Q2",6.25666666030884
"81",1998,"Q3",11.8403332233429
"82",1998,"Q4",11.6480000813802
"83",1999,"Q1",1.71366673707962
"84",1999,"Q2",0.477333307266235
"85",1999,"Q3",2.39866669972738
"86",1999,"Q4",4.55800000826518
"87",2000,"Q1",-1.04300006230672
"88",2000,"Q2",-6.60833352804184
"89",2000,"Q3",-0.371000011761983
"90",2000,"Q4",2.03666671117147
