"","year","trimestre","promedio_net"
"1",1988,"Q3",8.49466673533122
"2",1988,"Q4",11.1500002543132
"3",1989,"Q1",-4.43666664759318
"4",1989,"Q2",-2.21466666460037
"5",1989,"Q3",-7.91466649373372
"6",1989,"Q4",-4.86633324623108
"7",1990,"Q1",-4.82833329836528
"8",1990,"Q2",-5.58533334732056
"9",1990,"Q3",-8.20033343633016
"10",1990,"Q4",-7.82100009918213
"11",1991,"Q1",-5.53899987538656
"12",1991,"Q2",-5.07866648832957
"13",1991,"Q3",-7.57766675949097
"14",1991,"Q4",-6.15699998537699
"15",1992,"Q1",-0.429333368937174
"16",1992,"Q2",2.11266668637594
"17",1992,"Q3",10.3320002555847
"18",1992,"Q4",-3.48766668637594
"19",1993,"Q1",3.85933327674866
"20",1993,"Q2",6.65566655000051
"21",1993,"Q3",-7.01666688919067
"22",1993,"Q4",-14.7836662928263
"23",1994,"Q1",-19.3873332341512
"24",1994,"Q2",-25.8240000406901
"25",1994,"Q3",-10.1426668167114
"26",1994,"Q4",-10.5000001589457
"27",1995,"Q1",33.0499992370605
"28",1995,"Q2",36.3876667022705
"29",1995,"Q3",3.46200017134349
"30",1995,"Q4",-9.40766668319702
"31",1996,"Q1",-7.23733345667521
"32",1996,"Q2",4.2569998105367
"33",1996,"Q3",23.1490001678467
"34",1996,"Q4",11.2336665649588
"35",1997,"Q1",24.1666660308838
"36",1997,"Q2",42.509334564209
"37",1997,"Q3",24.2116673787435
"38",1997,"Q4",4.8766667842865
"39",1998,"Q1",3.9160000483195
"40",1998,"Q2",-9.65799999237061
"41",1998,"Q3",23.8693332672119
"42",1998,"Q4",32.7250003814697
"43",1999,"Q1",4.82466665903727
"44",1999,"Q2",-17.6559998194377
"45",1999,"Q3",-17.918999671936
"46",1999,"Q4",-13.4863330523173
"47",2000,"Q1",15.7330000797908
"48",2000,"Q2",18.1146663029989
"49",2000,"Q3",33.9506657918294
"50",2000,"Q4",41.306334177653
"51",2001,"Q1",19.0143330891927
"52",2001,"Q2",16.3576663335164
"53",2001,"Q3",19.4596659342448
"54",2001,"Q4",22.6583340962728
"55",2002,"Q1",16.8500003814697
"56",2002,"Q2",23.6276664733887
"57",2002,"Q3",28.0886662801107
"58",2002,"Q4",36.6286665598551
"59",2003,"Q1",36.8113339742025
"60",2003,"Q2",18.9263327916463
"61",2003,"Q3",6.90966685612996
"62",2003,"Q4",6.98066679636637
"63",2004,"Q1",2.10066677629948
"64",2004,"Q2",-9.50566637516022
"65",2004,"Q3",-14.2646668752035
"66",2004,"Q4",-6.12400011221568
"67",2005,"Q1",4.01933328310649
"68",2005,"Q2",18.75066725413
"69",2005,"Q3",28.7410004933675
"70",2005,"Q4",6.86366669336955
"71",2006,"Q1",9.45933310190837
"72",2006,"Q2",13.8806667327881
"73",2006,"Q3",16.6233329772949
"74",2006,"Q4",18.3933333555857
"75",2007,"Q1",66.7060012817383
"76",2007,"Q2",68.7960014343262
"77",2007,"Q3",55.5909996032715
"78",2007,"Q4",60.1443341573079
"79",2008,"Q1",49.1290016174316
"80",2008,"Q2",47.5890007019043
"81",2008,"Q3",47.6476669311523
"82",2008,"Q4",60.7163327534994
"83",2009,"Q1",51.125
"84",2009,"Q2",42.9916661580404
"85",2009,"Q3",42.8746681213379
"86",2009,"Q4",31.7083333333333
"87",2010,"Q1",27.346666653951
"88",2010,"Q2",40.5299987792969
"89",2010,"Q3",43.0850003560384
"90",2010,"Q4",48.4476674397786
"91",2011,"Q1",50.2656669616699
"92",2011,"Q2",49.0129992167155
"93",2011,"Q3",46.8303337097168
"94",2011,"Q4",49.3803329467773
"95",2012,"Q1",43.5900001525879
"96",2012,"Q2",43.2733332316081
"97",2012,"Q3",43.0413335164388
"98",2012,"Q4",50.7669995625814
"99",2013,"Q1",63.7076657613119
"100",2013,"Q2",69.4250005086263
"101",2013,"Q3",74.8743336995443
"102",2013,"Q4",77.5563329060872
"103",2014,"Q1",78.3906682332357
"104",2014,"Q2",76.1606674194336
"105",2014,"Q3",70.3396657307943
"106",2014,"Q4",61.455332438151
"107",2015,"Q1",52.2159996032715
"108",2015,"Q2",33.4836667378744
"109",2015,"Q3",27.7696660359701
"110",2015,"Q4",29.2886667251587
"111",2016,"Q1",4.0716667175293
"112",2016,"Q2",-3.90850007534027
