"","year","trimestre","promedio_net"
"1",1986,"Q2",-3.21700000762939
"2",1986,"Q3",-1.9859999815623
"3",1986,"Q4",-9.15333320200443
"4",1987,"Q1",-13.8576666514079
"5",1987,"Q2",1.22533333301544
"6",1987,"Q3",4.64299996693929
"7",1987,"Q4",8.05266666412354
"8",1988,"Q1",4.13866662979126
"9",1988,"Q2",6.29399983088175
"10",1988,"Q3",7.09933344523112
"11",1988,"Q4",23.9646666844686
"12",1989,"Q1",32.3339996337891
"13",1989,"Q2",32.4633331298828
"14",1989,"Q3",36.6759999593099
"15",1989,"Q4",47.9403343200684
"16",1990,"Q1",47.5923334757487
"17",1990,"Q2",35.8220011393229
"18",1990,"Q3",31.5123329162598
"19",1990,"Q4",27.349666595459
"20",1991,"Q1",31.796999613444
"21",1991,"Q2",32.5219999949137
"22",1991,"Q3",28.6730003356934
"23",1991,"Q4",34.5336666107178
"24",1992,"Q1",47.3356666564941
"25",1992,"Q2",39.1270001729329
"26",1992,"Q3",20.8386669158936
"27",1992,"Q4",26.9286664326986
"28",1993,"Q1",35.2983334859212
"29",1993,"Q2",33.5653336842855
"30",1993,"Q3",29.9283332824707
"31",1993,"Q4",27.6950003306071
"32",1994,"Q1",40.1426671346029
"33",1994,"Q2",52.6550000508626
"34",1994,"Q3",38.0783335367839
"35",1994,"Q4",3.37466675043106
"36",1995,"Q1",-8.96466646591822
"37",1995,"Q2",-10.1016666094462
"38",1995,"Q3",-4.8370000521342
"39",1995,"Q4",-5.97833319505056
"40",1996,"Q1",-8.99100001653036
"41",1996,"Q2",-0.735333442687988
"42",1996,"Q3",-10.3860001564026
"43",1996,"Q4",-4.21833332379659
"44",1997,"Q1",-3.49733320871989
"45",1997,"Q2",4.43899997075399
"46",1997,"Q3",13.3223333358765
"47",1997,"Q4",9.50466664632162
"48",1998,"Q1",9.03366676966349
"49",1998,"Q2",14.3933334350586
"50",1998,"Q3",18.7463334401449
"51",1998,"Q4",28.8739999135335
"52",1999,"Q1",29.1273339589437
"53",1999,"Q2",35.003667195638
"54",1999,"Q3",13.9349999427795
"55",1999,"Q4",1.14733338356018
"56",2000,"Q1",9.46666653951009
"57",2000,"Q2",17.7609996795654
"58",2000,"Q3",18.6410001118978
"59",2000,"Q4",15.6986665725708
"60",2001,"Q1",36.2433325449626
"61",2001,"Q2",33.4776662190755
"62",2001,"Q3",42.9629999796549
"63",2001,"Q4",44.8676668802897
"64",2002,"Q1",35.1109994252523
"65",2002,"Q2",30.3193340301514
"66",2002,"Q3",44.4569994608561
"67",2002,"Q4",20.0863332748413
"68",2003,"Q1",17.997000058492
"69",2003,"Q2",10.7553331057231
"70",2003,"Q3",30.1783326466878
"71",2003,"Q4",39.3466657002767
"72",2004,"Q1",53.4886665344238
"73",2004,"Q2",53.6966667175293
"74",2004,"Q3",53.9633331298828
"75",2004,"Q4",69.8373336791992
"76",2005,"Q1",73.7296651204427
"77",2005,"Q2",54.9989992777506
"78",2005,"Q3",48.1910006205241
"79",2005,"Q4",52.9976666768392
"80",2006,"Q1",46.3266677856445
"81",2006,"Q2",32.6440003712972
"82",2006,"Q3",12.2823333740234
"83",2006,"Q4",26.3470001220703
"84",2007,"Q1",26.2180004119873
"85",2007,"Q2",30.0266672770182
"86",2007,"Q3",35.2370007832845
"87",2007,"Q4",22.0003331502279
"88",2008,"Q1",11.6163333257039
"89",2008,"Q2",15.4230000178019
"90",2008,"Q3",26.1606667836507
"91",2008,"Q4",21.5493335723877
"92",2009,"Q1",30.0989996592204
"93",2009,"Q2",61.5250002543131
"94",2009,"Q3",74.8933334350586
"95",2009,"Q4",90.8290023803711
"96",2010,"Q1",73.5386657714844
"97",2010,"Q2",62.7453333536784
"98",2010,"Q3",67.0263353983561
"99",2010,"Q4",71.2956670125325
"100",2011,"Q1",54.8330001831055
"101",2011,"Q2",47.2310002644857
"102",2011,"Q3",39.5980008443197
"103",2011,"Q4",43.1123339335124
"104",2012,"Q1",38.2303339640299
"105",2012,"Q2",35.9916667938232
"106",2012,"Q3",46.3853327433268
"107",2012,"Q4",50.1053339640299
"108",2013,"Q1",41.3339996337891
"109",2013,"Q2",55.3379999796549
"110",2013,"Q3",34.6243336995443
"111",2013,"Q4",31.1193339029948
"112",2014,"Q1",31.0653336842855
"113",2014,"Q2",22.8533331553141
"114",2014,"Q3",15.0843334197998
"115",2014,"Q4",16.6833333969116
"116",2015,"Q1",14.1813329060872
"117",2015,"Q2",5.89366658528646
"118",2015,"Q3",4.87233328819275
"119",2015,"Q4",2.42999998728434
"120",2016,"Q1",-0.0175000429153442
