"","year","trimestre","promedio_net"
"1",1987,"Q4",6.02949994802475
"2",1988,"Q1",-2.91733336448669
"3",1988,"Q2",-2.99000000953674
"4",1988,"Q3",-2.99000000953674
"5",1988,"Q4",-2.99000000953674
"6",1989,"Q1",-2.99000000953674
"7",1989,"Q2",-2.99000000953674
"8",1989,"Q3",-2.99000000953674
"9",1989,"Q4",-2.99000000953674
"10",1990,"Q1",-2.99000000953674
"11",1990,"Q2",-9.72433320681254
"12",1990,"Q3",-0.130000114440918
"13",1990,"Q4",19.3599999745687
"14",1991,"Q1",19.4759998321533
"15",1991,"Q2",19.4759998321533
"16",1991,"Q3",34.7583325703939
"17",1991,"Q4",30.8923333485921
"18",1992,"Q1",36.8043327331543
"19",1992,"Q2",22.5866661071777
"20",1992,"Q3",21.96466700236
"21",1992,"Q4",19.5716667175293
"22",1993,"Q1",17.7553329467773
"23",1993,"Q2",17.5719998677572
"24",1993,"Q3",39.7970002492269
"25",1993,"Q4",45.5333315531413
"26",1994,"Q1",42.3666674296061
"27",1994,"Q2",42.5229988098145
"28",1994,"Q3",33.9623330434163
"29",1994,"Q4",24.7859992980957
"30",1995,"Q1",37.6106669108073
"31",1995,"Q2",30.3090000152588
"32",1995,"Q3",27.9810002644857
"33",1995,"Q4",21.7873331705729
"34",1996,"Q1",21.3263333638509
"35",1996,"Q2",16.1570002237956
"36",1996,"Q3",20.5380001068115
"37",1996,"Q4",24.7996660868327
"38",1997,"Q1",24.5930004119873
"39",1997,"Q2",14.3600002924601
"40",1997,"Q3",14.0736665725708
"41",1997,"Q4",15.345666885376
"42",1998,"Q1",17.3229993184408
"43",1998,"Q2",50.1193339029948
"44",1998,"Q3",23.2103328704834
"45",1998,"Q4",26.2036666870117
"46",1999,"Q1",31.3869997660319
"47",1999,"Q2",32.4009997049967
"48",1999,"Q3",24.1496667861938
"49",1999,"Q4",12.1169999440511
"50",2000,"Q1",14.3013331095378
"51",2000,"Q2",12.2153333028158
"52",2000,"Q3",3.84400016069412
"53",2000,"Q4",-4.6409999926885
"54",2001,"Q1",-9.97399997711182
"55",2001,"Q2",-19.2266667683919
"56",2001,"Q3",-26.0933329264323
"57",2001,"Q4",-32.1950003306071
"58",2002,"Q1",-35.4753328959147
"59",2002,"Q2",-43.982000986735
"60",2002,"Q3",-27.9849993387858
"61",2002,"Q4",-25.9543336232503
"62",2003,"Q1",-30.9013334910075
"63",2003,"Q2",-31.6806659698486
"64",2003,"Q3",-31.2773329416911
"65",2003,"Q4",-3.12700033187866
"66",2004,"Q1",15.8090000152588
"67",2004,"Q2",4.43866660694281
"68",2004,"Q3",7.16333325703939
"69",2004,"Q4",3.64333335061868
"70",2005,"Q1",-2.64233322938283
"71",2005,"Q2",8.56900008519491
"72",2005,"Q3",6.40133301417033
"73",2005,"Q4",-9.28833325703939
"74",2006,"Q1",0.0979999899864197
"75",2006,"Q2",-3.64733330408732
"76",2006,"Q3",-7.85200007756551
"77",2006,"Q4",1.98933320740859
"78",2007,"Q1",2.30000001192093
"79",2007,"Q2",9.84600019454956
"80",2007,"Q3",4.63633317748706
"81",2007,"Q4",9.41899998982747
"82",2008,"Q1",18.5036669572194
"83",2008,"Q2",-7.33300002415975
"84",2008,"Q3",-6.81899978717168
"85",2008,"Q4",12.7426665623983
"86",2009,"Q1",20.1609999338786
"87",2009,"Q2",20.5883337656657
"88",2009,"Q3",13.353000164032
"89",2009,"Q4",18.3836669921875
"90",2010,"Q1",18.2163333892822
"91",2010,"Q2",8.73900000254313
"92",2010,"Q3",10.0880002975464
"93",2010,"Q4",12.2053333918254
"94",2011,"Q1",8.08133331934611
"95",2011,"Q2",8.89333343505859
"96",2011,"Q3",17.1596663792928
"97",2011,"Q4",40.460999806722
"98",2012,"Q1",65.4146677652995
"99",2012,"Q2",29.2596658070882
"100",2012,"Q3",31.3646666208903
"101",2012,"Q4",35.4953333536784
"102",2013,"Q1",25.3366667429606
"103",2013,"Q2",15.7223332722982
"104",2013,"Q3",16.6056671142578
"105",2013,"Q4",16.6436659495036
"106",2014,"Q1",8.77366669972738
"107",2014,"Q2",9.40966669718424
"108",2014,"Q3",16.8549995422363
"109",2014,"Q4",11.1356663703918
"110",2015,"Q1",-3.87033319473267
"111",2015,"Q2",-33.4926668802897
"112",2015,"Q3",-37.5859985351562
