"","year","trimestre","promedio_net"
"1",1989,"Q4",18.9456666310628
"2",1990,"Q1",22.8816668192546
"3",1990,"Q2",26.2366663614909
"4",1990,"Q3",23.5130004882812
"5",1990,"Q4",18.486333211263
"6",1991,"Q1",15.6156670252482
"7",1991,"Q2",18.1316668192546
"8",1991,"Q3",23.9400005340576
"9",1991,"Q4",21.5943330128988
"10",1992,"Q1",16.048999786377
"11",1992,"Q2",9.15066687266032
"12",1992,"Q3",1.02799999713898
"13",1992,"Q4",-6.13599997758865
"14",1993,"Q1",-14.8750003178914
"15",1993,"Q2",-14.9119997024536
"16",1993,"Q3",-17.528333346049
"17",1993,"Q4",-12.6956666310628
"18",1994,"Q1",-12.4373331069946
"19",1994,"Q2",-14.6909999847412
"20",1994,"Q3",-15.0616664886475
"21",1994,"Q4",-20.1053333282471
"22",1995,"Q1",-19.6886666615804
"23",1995,"Q2",-16.0879999796549
"24",1995,"Q3",-15.9416669209798
"25",1995,"Q4",-18.3223336537679
"26",1996,"Q1",-17.6706663767497
"27",1996,"Q2",-16.5393333435059
"28",1996,"Q3",-11.1510000228882
"29",1996,"Q4",11.7613336245219
"30",1997,"Q1",23.8136666615804
"31",1997,"Q2",13.9276666641235
"32",1997,"Q3",8.0889999071757
"33",1997,"Q4",8.60599994659424
"34",1998,"Q1",8.46100012461344
"35",1998,"Q2",6.20466677347819
"36",1998,"Q3",4.51333340009054
"37",1998,"Q4",3.54366668065389
"38",1999,"Q1",2.61933334668477
"39",1999,"Q2",6.46966675917308
"40",1999,"Q3",11.8969999949137
"41",1999,"Q4",4.5173334479332
"42",2000,"Q1",2.17200001080831
"43",2000,"Q2",3.02933343251546
"44",2000,"Q3",0.231333310405413
"45",2000,"Q4",-2.69433331489563
"46",2001,"Q1",-2.73766660690308
"47",2001,"Q2",-9.81333303451538
"48",2001,"Q3",-9.21900002161662
"49",2001,"Q4",15.7890005111694
"50",2002,"Q1",23.8593330383301
"51",2002,"Q2",42.4936663309733
"52",2002,"Q3",43.9416669209798
"53",2002,"Q4",27.585999806722
"54",2003,"Q1",14.5596667925517
"55",2003,"Q2",7.74966669082642
"56",2003,"Q3",7.03999996185303
"57",2003,"Q4",3.70866664250692
"58",2004,"Q1",10.3526668548584
"59",2004,"Q2",-2.75633349021276
"60",2004,"Q3",0.27400000890096
"61",2004,"Q4",2.23566682140032
"62",2005,"Q1",-1.8716666555265
"63",2005,"Q2",-6.9490000406901
"64",2005,"Q3",-6.59600003560384
"65",2005,"Q4",-2.10499995946884
"66",2006,"Q1",-0.64766667286555
"67",2006,"Q2",-11.329000155131
"68",2006,"Q3",-21.7333335876465
"69",2006,"Q4",-8.92933336893717
"70",2007,"Q1",17.2476671536763
"71",2007,"Q2",-13.4226663944622
"72",2007,"Q3",13.3726666768392
"73",2007,"Q4",-0.761666774749756
"74",2008,"Q1",-11.23299964269
"75",2008,"Q2",-35.0530001322428
"76",2008,"Q3",-7.63300005594889
"77",2008,"Q4",-2.32300011316935
"78",2009,"Q1",0.999666670958201
"79",2009,"Q2",-5.03433322906494
"80",2009,"Q3",8.63666661580404
"81",2009,"Q4",-9.33699999252955
"82",2010,"Q1",-7.04033327102661
"83",2010,"Q2",-1.17033330599467
"84",2010,"Q3",7.45566654205322
"85",2010,"Q4",15.1346667607625
"86",2011,"Q1",24.5810000101725
"87",2011,"Q2",20.277333577474
"88",2011,"Q3",18.9653333028158
"89",2011,"Q4",34.3040008544922
"90",2012,"Q1",31.5713335673014
"91",2012,"Q2",30.2583338419596
"92",2012,"Q3",31.8416665395101
"93",2012,"Q4",37.031000773112
"94",2013,"Q1",38.0279998779297
"95",2013,"Q2",35.5513331095378
"96",2013,"Q3",36.451000213623
"97",2013,"Q4",38.6189994812012
"98",2014,"Q1",34.1619993845622
"99",2014,"Q2",34.3396657307943
"100",2014,"Q3",39.9516665140788
"101",2014,"Q4",39.5103327433268
"102",2015,"Q1",35.1746673583984
"103",2015,"Q2",37.8260014851888
"104",2015,"Q3",37.3680000305176
"105",2015,"Q4",40.2240002950033
"106",2016,"Q1",44.5839996337891
"107",2016,"Q2",43.1319999694824
