"","year","trimestre","promedio_net"
"1",1994,"Q3",33.397500038147
"2",1994,"Q4",23.5943336486816
"3",1995,"Q1",23.4543336232503
"4",1995,"Q2",23.4540004730225
"5",1995,"Q3",23.4540004730225
"6",1995,"Q4",23.4540004730225
"7",1996,"Q1",23.4540004730225
"8",1996,"Q2",23.4540004730225
"9",1996,"Q3",23.4540004730225
"10",1996,"Q4",23.4540004730225
"11",1997,"Q1",23.4540004730225
"12",1997,"Q2",23.4540004730225
"13",1997,"Q3",23.4540004730225
"14",1997,"Q4",23.4540004730225
"15",1998,"Q1",23.4540004730225
"16",1998,"Q2",23.4540004730225
"17",1998,"Q3",23.4540004730225
"18",1998,"Q4",23.4540004730225
"19",1999,"Q1",19.3733336130778
"20",1999,"Q2",9.70433362325033
"21",1999,"Q3",7.49000000953674
"22",1999,"Q4",0.521666675806046
"23",2000,"Q1",0.458333333333333
"24",2000,"Q2",0.458999991416931
"25",2000,"Q3",0.458999991416931
"26",2000,"Q4",0.458999991416931
"27",2001,"Q1",0.458999991416931
"28",2001,"Q2",0.458999991416931
"29",2001,"Q3",0.458999991416931
"30",2001,"Q4",0.458999991416931
"31",2002,"Q1",0.458999991416931
"32",2002,"Q2",0.458999991416931
"33",2002,"Q3",-3.18266669909159
"34",2002,"Q4",-3.39833331108093
"35",2003,"Q1",-3.3989999294281
"36",2003,"Q2",-3.3989999294281
"37",2003,"Q3",-8.70266652107239
"38",2003,"Q4",-31.5496673583984
"39",2004,"Q1",-31.1433334350586
"40",2004,"Q2",-23.0569995244344
"41",2004,"Q3",-3.43199984232585
"42",2004,"Q4",50.2926661173503
"43",2005,"Q1",28.8493334452311
"44",2005,"Q2",-20.9803336461385
"45",2005,"Q3",-11.3056666851044
"46",2005,"Q4",14.5923337936401
"47",2006,"Q1",22.160000483195
"48",2006,"Q2",25.9206663767497
"49",2006,"Q3",15.9363334178925
"50",2006,"Q4",37.0893338521322
"51",2007,"Q1",34.6320012410482
"52",2007,"Q2",24.8323332468669
"53",2007,"Q3",21.1373329162598
"54",2007,"Q4",19.4740002950033
"55",2008,"Q1",8.10433348019918
"56",2008,"Q2",2.3793332974116
"57",2008,"Q3",2.84733335177104
"58",2008,"Q4",0.0979999701182048
"59",2009,"Q1",8.56099994977315
"60",2009,"Q2",18.4849999745687
"61",2009,"Q3",66.1749992370605
"62",2009,"Q4",73.8013331095378
"63",2010,"Q1",49.5003344217936
"64",2010,"Q2",48.5259997049967
"65",2010,"Q3",29.4193337758382
"66",2010,"Q4",42.8100001017253
"67",2011,"Q1",39.4416669209798
"68",2011,"Q2",34.0093332926432
"69",2011,"Q3",24.0746662219365
"70",2011,"Q4",1.40833334128062
"71",2012,"Q1",-12.9106665452321
"72",2012,"Q2",-13.6080001195272
"73",2012,"Q3",-7.30833335717519
"74",2012,"Q4",6.76599979400635
"75",2013,"Q1",13.9973332087199
"76",2013,"Q2",25.8796666463216
"77",2013,"Q3",33.638334274292
"78",2013,"Q4",29.7556667327881
"79",2014,"Q1",36.0110003153483
"80",2014,"Q2",38.8033320109049
"81",2014,"Q3",62.328665415446
"82",2014,"Q4",57.5083325703939
"83",2015,"Q1",49.5193341573079
"84",2015,"Q2",38.69700050354
"85",2015,"Q3",15.8149995803833
"86",2015,"Q4",17.0793336232503
"87",2016,"Q1",1.44333326816559
"88",2016,"Q2",-4.41299986839294
