"","year","trimestre","promedio_net"
"1",2003,"Q4",-9.76399993896484
"2",2004,"Q1",-10.2053333918254
"3",2004,"Q2",-13.386666615804
"4",2004,"Q3",17.3543329238892
"5",2004,"Q4",29.3506660461426
"6",2005,"Q1",42.2696660359701
"7",2005,"Q2",32.0460001627604
"8",2005,"Q3",32.0726661682129
"9",2005,"Q4",29.5533332824707
"10",2006,"Q1",31.6510003407796
"11",2006,"Q2",39.5593338012695
"12",2006,"Q3",39.3390007019043
"13",2006,"Q4",31.2556667327881
"14",2007,"Q1",27.2749996185303
"15",2007,"Q2",21.2963333129883
"16",2007,"Q3",14.7919998168945
"17",2007,"Q4",6.18400013446808
"18",2008,"Q1",13.154332836469
"19",2008,"Q2",34.210999806722
"20",2008,"Q3",34.078665415446
"21",2008,"Q4",17.3203328450521
"22",2009,"Q1",16.5840002695719
"23",2009,"Q2",16.5820007324219
"24",2009,"Q3",16.5820007324219
"25",2009,"Q4",19.1173334121704
"26",2010,"Q1",25.966999689738
"27",2010,"Q2",26.0833333333333
"28",2010,"Q3",16.3943335215251
"29",2010,"Q4",16.4356667200724
"30",2011,"Q1",6.71033334732056
"31",2011,"Q2",3.75900010267893
"32",2011,"Q3",-0.852999965349833
"33",2011,"Q4",3.70866672197978
"34",2012,"Q1",1.53233325481415
"35",2012,"Q2",-1.69400000572205
"36",2012,"Q3",7.20333321889242
"37",2012,"Q4",29.4393329620361
"38",2013,"Q1",57.0593325297038
"39",2013,"Q2",48.6093330383301
"40",2013,"Q3",56.1963335673014
"41",2013,"Q4",56.8429997762044
"42",2014,"Q1",58.6489995320638
"43",2014,"Q2",62.4716669718424
"44",2014,"Q3",62.4729995727539
"45",2014,"Q4",55.9459991455078
"46",2015,"Q1",58.8903338114421
"47",2015,"Q2",56.0563329060872
"48",2015,"Q3",51.3480008443197
