"","year","trimestre","promedio_net"
"1",1986,"Q3",19.1199998855591
"2",1986,"Q4",7.9026665687561
"3",1987,"Q1",9.80733331044515
"4",1987,"Q2",14.518666267395
"5",1987,"Q3",9.18999989827474
"6",1987,"Q4",6.55266682306925
"7",1988,"Q1",8.90100002288818
"8",1988,"Q2",15.2620004018148
"9",1988,"Q3",5.51799988746643
"10",1988,"Q4",-3.98066671689351
"11",1989,"Q1",-8.33133316040039
"12",1989,"Q2",-4.49500012397766
"13",1989,"Q3",-8.97800000508626
"14",1989,"Q4",-6.63633334636688
"15",1990,"Q1",3.93766655524572
"16",1990,"Q2",9.92366647720337
"17",1990,"Q3",0.157333344221115
"18",1990,"Q4",-7.01300017038981
"19",1991,"Q1",2.87733320395152
"20",1991,"Q2",-1.57099994023641
"21",1991,"Q3",-5.9490000406901
"22",1991,"Q4",-6.12633323669434
"23",1992,"Q1",-10.1763334274292
"24",1992,"Q2",-12.7330001195272
"25",1992,"Q3",-15.6963329315186
"26",1992,"Q4",-14.9259999593099
"27",1993,"Q1",-13.7443332672119
"28",1993,"Q2",-16.9233328501383
"29",1993,"Q3",-11.1443335215251
"30",1993,"Q4",-4.96299997965495
"31",1994,"Q1",-5.91333341598511
"32",1994,"Q2",-0.940333326657613
"33",1994,"Q3",7.63233351707458
"34",1994,"Q4",13.9116668701172
"35",1995,"Q1",16.1383330027262
"36",1995,"Q2",13.1853332519531
"37",1995,"Q3",9.19600033760071
"38",1995,"Q4",7.47166649500529
"39",1996,"Q1",8.01499970753988
"40",1996,"Q2",3.23833344380061
"41",1996,"Q3",3.21199997266134
"42",1996,"Q4",6.52933343251546
"43",1997,"Q1",8.9523336092631
"44",1997,"Q2",7.94766680399577
"45",1997,"Q3",6.93066676457723
"46",1997,"Q4",13.6590000788371
"47",1998,"Q1",20.0073331197103
"48",1998,"Q2",18.9076665242513
"49",1998,"Q3",16.7686669031779
"50",1998,"Q4",23.1480000813802
"51",1999,"Q1",19.0383332570394
"52",1999,"Q2",12.7739998499552
"53",1999,"Q3",15.2803332010905
"54",1999,"Q4",15.5613333384196
"55",2000,"Q1",24.0116672515869
"56",2000,"Q2",47.513666788737
"57",2000,"Q3",40.4176661173503
"58",2000,"Q4",26.0786673227946
"59",2001,"Q1",19.7436669667562
"60",2001,"Q2",21.5126660664876
"61",2001,"Q3",16.4903335571289
"62",2001,"Q4",19.6016674041748
"63",2002,"Q1",15.0973331133525
"64",2002,"Q2",-0.635333319505056
"65",2002,"Q3",-15.167000134786
"66",2002,"Q4",-17.1556663513184
"67",2003,"Q1",-26.6453336079915
"68",2003,"Q2",-22.1670004526774
"69",2003,"Q3",-23.9450003306071
"70",2003,"Q4",-22.2123336791992
"71",2004,"Q1",-19.3020000457764
"72",2004,"Q2",-18.2820002237956
"73",2004,"Q3",-19.2629998524984
"74",2004,"Q4",-15.9069999059041
"75",2005,"Q1",33.4489997227987
"76",2005,"Q2",64.1116663614909
"77",2005,"Q3",48.9460004170736
"78",2005,"Q4",50.9839998881022
"79",2006,"Q1",42.9959996541341
"80",2006,"Q2",34.6589991251628
"81",2006,"Q3",34.292999903361
"82",2006,"Q4",39.2616678873698
"83",2007,"Q1",41.701000213623
"84",2007,"Q2",37.5756670633952
"85",2007,"Q3",36.0263328552246
"86",2007,"Q4",29.6456667582194
"87",2008,"Q1",36.5879999796549
"88",2008,"Q2",35.0449994405111
"89",2008,"Q3",39.1336669921875
"90",2008,"Q4",36.2086664835612
"91",2009,"Q1",39.5006663004557
"92",2009,"Q2",42.1573333740234
"93",2009,"Q3",45.1986668904622
"94",2009,"Q4",53.4243329366048
"95",2010,"Q1",55.5183334350586
"96",2010,"Q2",57.9733339945475
"97",2010,"Q3",55.4759991963704
"98",2010,"Q4",45.4850006103516
"99",2011,"Q1",42.7013333638509
"100",2011,"Q2",31.8343334197998
"101",2011,"Q3",29.6803334554036
"102",2011,"Q4",32.25
"103",2012,"Q1",37.5679995218913
"104",2012,"Q2",29.4016672770182
"105",2012,"Q3",16.2806668281555
"106",2012,"Q4",16.8656663894653
"107",2013,"Q1",27.029333114624
"108",2013,"Q2",21.2369995117188
"109",2013,"Q3",23.3959999084473
"110",2013,"Q4",29.4860000610352
"111",2014,"Q1",36.1450004577637
"112",2014,"Q2",33.9763336181641
"113",2014,"Q3",37.1563326517741
"114",2014,"Q4",46.1046663920085
"115",2015,"Q1",44.4683329264323
"116",2015,"Q2",45.6679992675781
"117",2015,"Q3",31.9913330078125
"118",2015,"Q4",14.9206670125326
"119",2016,"Q1",12.0809996922811
"120",2016,"Q2",16.290500164032
